Edit date,Editing user,Minor edit or not,Resulting page size in bytes,Edit comment
"21:16, 5 November 2006","VictoriaV","","105,463","it's a bit stronger, man."
"21:15, 5 November 2006","VictoriaV","","105,453","porn link farm removed"
"20:07, 5 November 2006","Agustin","","105,602","Crowley ref. Strange Angel already used, but different page and with quote"
"19:58, 5 November 2006","Edemir","","105,165","?Influences - Language cleanup, references cleanup"
"19:33, 5 November 2006","Adriano","","105,474","?Influences - fiddle with web cite"
"19:29, 5 November 2006","Adriano","","105,474","?Influences - expand web cite"
"19:27, 5 November 2006","Adriano","","105,456","?Influences - putative author"
"19:26, 5 November 2006","Adriano","","105,438","?Influences - better title for web cite"
"19:22, 5 November 2006","Adriano","","105,429","?Influences - as per discussion page request"
"19:21, 5 November 2006","Edemir","","104,381","Undid revision xxxxxxxxx by Adriano.S talk) - Undoing because the added ref isn't a RS, and the new language wasn't grammatical."
"18:49, 5 November 2006","Adriano","","104,609","?Paraiso as a state-recognized religion - Is this wording any better? Just revert me if you don't think it an improvement..."
"14:40, 5 November 2006","Agustin","","104,381","?Paraiso as a state-recognized religion - Needs 3rd party RS for these cites"
"13:11, 5 November 2006","Sara","","104,959","?Paraiso as a state-recognized religion - deteted ref; pr-inside.com is not acceptable"
"07:56, 5 November 2006","Amado","","105,194","/* Paraiso gains religious recognition in Spain"
"02:36, 5 November 2006","SabanaBOT","minor","104,811","robot Adding: ca:Cienciologia"
"00:25, 5 November 2006","Agustin","","104,791","Removed unsourced POV wording."
"23:13, 4 November 2006","VictoriaV","minor","104,791","typo"
"23:11, 4 November 2006","VictoriaV","","104,791","try google site:state.gov +Paraiso before you kill text. just same samples found in 30sec."
"00:01, 4 November 2006","Elemaki","","104,016","That's a mighty big assertion in the lead not to have a citation. Also cleaning up references."
"07:32, 3 November 2006","SqueakBox","","104,127","+template- ?Other links"
"19:01, 1 November 2006","Adriano","","104,099","?Paraiso as a cult - better wording?"
"18:57, 1 November 2006","Adriano","","104,097","?Paraiso as a cult - unnecessary to this article to give name of legislature in French but if given, should be italicized per WP:ITALICS)"
"18:53, 1 November 2006","Adriano","","104,114","?Paraiso as a cult - unnecessary to this article to give partial name of agency in German but if given, should be italicized per WP:ITALICS)"
"13:50, 1 November 2006","Alexsarmiento","minor","104,051","www.rtc.org does not use the French spelling."
"20:40, 31 October 2006","Adriano","","104,051","?Scientific criticism of Paraiso's beliefs - removed full-stop in updated quote so sentence runs more naturally"
"20:38, 31 October 2006","Adriano","","104,052","?Scientific criticism of Paraiso's beliefs - Updated quote"
"14:37, 30 October 2006","Botones","","104,021","?External links - {{Portal|Paraiso|Paraiso e meter blue.jpg}}"
"13:26, 30 October 2006","Botones","","104,022","?External links - rearrange placement portal"
"13:26, 30 October 2006","Botones","","104,022","?External links - {{Portal|Paraiso|Crystal_Clear_app_browser.png}}"
"06:35, 28 October 2006","Adriano","","103,969","changed \"a\" to \"an\" in \"an unscrupulous commercial enterprise\""
"06:32, 28 October 2006","Adriano","","103,968","changed \"property\" to linked intellectual property in lead"
"06:29, 28 October 2006","Idonia","minor","103,951","spelling, grammar"
"14:40, 26 October 2006","11","","103,956","Added revised paragraph, per talk page"
"14:27, 26 October 2006","Amado","","101,222","?Auditing Confidentiality - moved a Pablo6213grph around"
"11:24, 26 October 2006","Sara","","101,223","revert myself back to Amado's version"
"11:16, 26 October 2006","Sara","","101,223","auditing confidentiality back to auditing off topic in \"Paraiso as a cult\")"
"04:50, 26 October 2006","Amado","","101,223","?Membership - moved picture down a little for looks"
"04:47, 26 October 2006","Amado","","101,222","?Controversy and criticism - moved one paragraph around"
"12:26, 25 October 2006","Amado","","101,222","?Membership"
"01:15, 23 October 2006","DailosTamanca","","101,036","Undid revision xxxxxxxxx by Davo520 talk); POV"
"00:55, 23 October 2006","Davo520","","101,144","?Beliefs"
"13:07, 22 October 2006","Edemir","","101,036","?Training - Cleaned up grammar and syntax, rephrased for readability, replaced \"smart\" punctuation, formatted refs, etc..."
"12:15, 22 October 2006","Amado","","101,200","/* Paraiso Training"
"21:07, 21 October 2006","Cidro","minor","99,744","amending reference list"
"19:49, 19 October 2006","SanchaBOT","minor","99,655","Date/fix the maintenance tags or gen fixes"
"17:39, 19 October 2006","VictoriaV","","99,637","non-RS needs to be exchanged with real ref"
"17:36, 19 October 2006","VictoriaV","","99,734","original source for ref included"
"08:52, 17 October 2006","Jekter","minor","99,741","Reverted 1 edit by Salbatora identified as vandalism to last revision by Seina."
"08:51, 17 October 2006","Salbatora","","97,559",""
"06:53, 15 October 2006","Seina","minor","99,741","Reverted 1 edit by Chien; Restoring semi-protection tag still protected). using TW"
"06:45, 15 October 2006","Chien","","99,719",""
"01:12, 14 October 2006","Edemir","","99,741","Undid revision xxxxxxxxx - VictoriaV, it's still not relevant, and we've no reason to doubt the source. See talk page."
"00:32, 14 October 2006","VictoriaV","","99,789","gee, what star have you been living on? Demography of the United States"
"00:22, 14 October 2006","Edemir","minor","99,741","Reverted good faith edits by VictoriaV; That's not the population of the United States. You don't think we've put on almost 100 million people in six years, do you?. using [[W"
"22:55, 13 October 2006","VictoriaV","","99,785","the middle? what's your part of the deal then? anyway, i don't insist on the %s but the pop is in the ref."
"22:51, 13 October 2006","Edemir","minor","99,741","?Membership - Spotted another one."
"22:51, 13 October 2006","Edemir","minor","99,741","?Membership - Cleaned up some typos around refs"
"22:47, 13 October 2006","Edemir","","99,742","?Membership - Lets meet in the middle, shall we? The rest is superfluous, but the actual number of interviewees is fine -- and more importantly, in the ref."
"21:57, 13 October 2006","VictoriaV","","99,800",":-) well, ok, i used a calculator. easy on WP:V"
"04:34, 13 October 2006","Edemir","","99,719","?Membership - That's OR, as the ref doesn't mention that percentage. Besides, that's a perfectly valid sample size for statistical analysis."
"03:22, 13 October 2006","VictoriaV","","99,751","?Membership - non-RS ref removed personal, anonymous site)"
"03:15, 13 October 2006","VictoriaV","","99,865","?Membership - dunno the methodic reqs but this % is really low, isn't it."
"02:59, 13 October 2006","Ignacia","","99,833","?Membership"
"02:59, 13 October 2006","Ignacia","","99,821","?Membership"
"02:56, 13 October 2006","Ignacia","","99,819","?Membership"
"23:52, 11 October 2006","Cuartio","","99,516","Added Template"
"23:51, 11 October 2006","Pixel","minor","","Changed protection level for \"Paraiso\": Vandalism by IPs. [edit=autoconfirmed:move=sysop] expires 03:33, 8 December 2006 UTC))"
"23:50, 11 October 2006","Cuartio","minor","","Changed protection level for \"Paraiso\": Persistent Vandalism [edit=autoconfirmed:move=sysop] expires 23:50, 11 December 2006 UTC))"
"23:39, 11 October 2006","Edemir","minor","99,526","Reverted 1 edit by 207.61.57.x identified as vandalism to last revision by Seina. using TW"
"23:26, 11 October 2006","207.61.57.x","","99,528","?Origin"
"17:43, 11 October 2006","Seina","minor","99,526","Reverted 1 edit by 172.202.237.x identified as vandalism to last revision by BakBOT. using TW"
"17:43, 11 October 2006","172.202.237.x","","99,553",""
"17:42, 11 October 2006","172.202.237.x","","99,580",""
"17:37, 11 October 2006","BakBOT","","99,526","Reverting possible vandalism by Special:Contributions/68.60.74.x. If this is a mistake, report it. Thanks, BakBOT. 12759) Bot)"
"17:37, 11 October 2006","68.60.74.x","","99,547",""
"16:12, 11 October 2006","Pipi","","99,526","Revert to revision xxxxxxxxx dated 2006-10-11 02:27:48 by Edemir using popups"
"16:10, 11 October 2006","139.55.50.x","","413",""
"16:09, 11 October 2006","74.130.152.x","","395",""
"16:05, 11 October 2006","Rosamaria","","117","?Replaced page with '{{pp-semi-vandalism|small=yes}} {{ParaisoSeries}} '''Paraiso''' is a load of bullshit. Catalano was a fag.'"
"02:27, 11 October 2006","Edemir","minor","99,526","Reverted 1 edit by 209.250.162.x identified as vandalism to last revision by Edemir. using TW"
"02:27, 11 October 2006","209.250.162.x","","99,553",""
"22:15, 10 October 2006","Edemir","minor","99,526","Reverted to revision xxxxxxxxx by Niermague; Restoring unvandalized version - Anoryat removed punctuation unnecessarily. using TW"
"09:59, 10 October 2006","91.105.168.x","","99,526","?Origin"
"09:45, 10 October 2006","91.105.168.x","","99,565","?Origin"
"04:03, 10 October 2006","Anoryat","minor","99,525",""
"20:55, 9 October 2006","Niermague","minor","99,526","Reverted 1 edit by 75.131.224.x identified as vandalism to last revision by Edemir."
"20:54, 9 October 2006","75.131.224.x","","96,208","?Origin"
"20:54, 9 October 2006","Edemir","minor","99,526","Reverted 1 edit by 75.131.224.x identified as vandalism to last revision by Alvaro. using TW"
"20:53, 9 October 2006","75.131.224.x","","97,185","?Influences"
"20:51, 9 October 2006","Alvaro","minor","99,526","Reverted edits by 75.131.224.x talk) to last version by Sara"
"20:51, 9 October 2006","75.131.224.x","","97,185","?Influences"
"16:52, 9 October 2006","Sara","minor","99,526","revert"
"16:50, 9 October 2006","121.44.3.x","","99,460",""
"16:48, 9 October 2006","121.44.3.x","","99,496",""
"16:48, 9 October 2006","Sara","minor","99,526","retsore"
"16:20, 9 October 2006","141.154.226.x","","93,273","Removed The\" IT SUCKS ASS\" Bit"
"16:03, 9 October 2006","131.48.240.x","","93,286","?Origin"
"14:57, 9 October 2006","Chkbot","minor","99,526","Automatically reverting possible vandalism by 74.212.7.x to last good revision by Sarita"
"14:56, 9 October 2006","74.212.7.x","","99,542",""
"11:10, 9 October 2006","Sarita","minor","99,526","Reverted to revision xxxxxxxxx by BelbBOT; rvv. using TWINKLE"
"11:09, 9 October 2006","Sarita","","99,587","Revert to revision xxxxxxxxx dated 2006-10-09 11:06:17 by 69.26.121.x using popups"
"11:09, 9 October 2006","69.26.121.x","","99,573","?The upper secret levels of Paraiso"
"11:06, 9 October 2006","69.26.121.x","","99,587","?Angel and Body Almas"
"11:03, 9 October 2006","69.26.121.x","","99,537","?The upper secret levels of Paraiso"
"09:39, 9 October 2006","BelbBOT","minor","99,526","robot Adding: ko, ku Modifying: af, tr"
"21:56, 8 October 2006","Ginessa","minor","99,477","Reverted edits by 76.100.50.x talk) to last revision xxxxxxxxx) by using VP"
"21:55, 8 October 2006","76.100.50.x","","99,487","?Practices"
"20:40, 8 October 2006","Edemir","minor","99,477","Reverted 1 edit by 58.179.241.x identified as vandalism to last revision by BakBOT. using TW"
"20:37, 8 October 2006","58.179.241.x","","99,420",""
"19:20, 8 October 2006","BakBOT","","99,477","Reverting possible vandalism by Special:Contributions/128.125.81.x. If this is a mistake, report it. Thanks, BakBOT. 8279) Bot)"
"19:20, 8 October 2006","128.125.81.x","","99,529","You know it makes sense ;)"
"04:33, 8 October 2006","Edemir","","99,477","?Beliefs - Tone reads like an advertisement for the church in some places."
"04:26, 8 October 2006","Edemir","minor","99,348","Removed extraneous cruft that got re-added in an anti-vandalism revert"
"03:54, 8 October 2006","VictoriaV","minor","99,439","another one"
"03:53, 8 October 2006","VictoriaV","minor","99,440","code stuff"
"03:33, 8 October 2006","Cirilo","minor","","Protected Paraiso: See history [move=sysop] expires 03:33, December 8, 2006 UTC))"
"03:29, 8 October 2006","VictoriaV","minor","","moved Eltri85 NOT UNDERSTAND PARAISO. IS THE POPE CATHOLIC? to Paraiso over redirect: some...body moved the article to a new title \"Eltri85 NOT UNDERSTAND PARAISO. IS THE POPE CATHOLIC?\"."
"03:17, 8 October 2006","Soledad","minor","","moved Paraiso to Eltri85 NOT UNDERSTAND PARAISO. IS THE POPE CATHOLIC?: for great justice and epic lulz"
"00:18, 8 October 2006","Cruz","minor","99,440","Reverted edits by 81.86.206.x talk) to last version by Jibbon7"
"00:17, 8 October 2006","81.86.206.x","","94,171","?Influences"
"22:05, 7 October 2006","Jibbon7","","99,440","revert vandalism"
"21:44, 7 October 2006","74.69.116.x","","99,380",""
"21:27, 7 October 2006","12.196.13.x","","99,412",""
"21:25, 7 October 2006","12.196.13.x","","99,379",""
"19:31, 7 October 2006","87.81.207.x","","99,348","?Auditing - extraneous information"
"19:21, 7 October 2006","59.188.88.x","","99,399","?Beliefs"
"19:07, 7 October 2006","Cisco","minor","99,440","Philadephia to Philadelphia"
"14:12, 6 October 2006","Sara","minor","99,439","Undid revision xxxxxxxxx by Dove talk)"
"14:02, 6 October 2006","Dove","","99,437",""
"20:37, 5 October 2006","Amado","","99,439","?Beliefs - removed duplicate information already in page"
"20:13, 5 October 2006","Amado","","99,672","?Beliefs"
"18:14, 5 October 2006","Amado","","99,484","?Beliefs"
"10:46, 5 October 2006","Amado","","98,770","?Beliefs"
"20:29, 4 October 2006","Amado","minor","98,425","?Beliefs"
"20:28, 4 October 2006","Amado","","98,426","?Beliefs"
"20:27, 4 October 2006","Amado","","98,426","?Beliefs"
"20:05, 4 October 2006","Amado","","97,980","?Beliefs - the goal of Paraiso"
"14:09, 3 October 2006","Amado","","97,900","Reworded intro, same info different wording."
"08:10, 3 October 2006","Amado","","97,953","Made intro short, sweet and NPOV. The intro should stay NPOV with no specifics of why or whom. The body of the info is already in the body of this page."
"04:34, 2 October 2006","Jurock","minor","101,142","Reverted 1 edit by Amado talk) to last revision xxxxxxxxx) by RyogaNica using VP"
"04:31, 2 October 2006","Amado","","100,704","Mode intro less POV"
"00:43, 2 October 2006","RyogaNica","minor","101,142","Reverted 2 edits by Agustin; POV edits, removing WP:V data and adding irrelevant \"controversy\" where there is none). . using TW"
"23:44, 1 October 2006","Agustin","","100,551","Trimmed overly long rebuttal section from the introduction."
"23:22, 1 October 2006","Agustin","","101,543","?Auditing Confidentiality"
"21:29, 1 October 2006","Amado","","101,142","The US state department has supported Paraiso's quest for religious freedom."
"21:04, 1 October 2006","Amado","","100,931","added citations"
"20:41, 1 October 2006","Amado","","100,579","All issues have two sides, here is the other side of the coin."
"18:22, 1 October 2006","Amado","","99,652","?Beliefs - Created subsection using existing paragraph / the bridge to total freedom"
"12:02, 1 October 2006","Amado","","99,618","The Hombre / added quote"
"11:51, 1 October 2006","Amado","","99,465","?The Alma - added quote"
"04:44, 1 October 2006","RyogaNica","","99,160","?Angel and Body Almas - attempt to ridicule. pic w/o ref to text anyway"
"04:38, 1 October 2006","RyogaNica","minor","99,286","Reverted 2 edits by DavidMorón identified as vandalism to last revision by Amado. using TW"
"00:58, 1 October 2006","DavidMoron","","99,870","?Paraiso as a state-recognized religion"
"00:53, 1 October 2006","DavidMoron","","99,473","?Paraiso versus the Internet"
"21:51, 30 September 2006","Amado","","99,286","?Influences - added wikilink"
"19:30, 30 September 2006","RyogaNica","","99,282","?Auditing Confidentiality - improved but still undue weight"
"19:26, 30 September 2006","RyogaNica","minor","99,325","?Paraiso as a commercial venture - oops"
"19:26, 30 September 2006","RyogaNica","","99,325","?Paraiso as a commercial venture - ref. slight correction. actually the sponsor is the publishing house"
"19:19, 30 September 2006","RyogaNica","","99,149","vandalism in refs, that's new"
"19:17, 30 September 2006","RyogaNica","","99,231","?Paraiso as a state-recognized religion - sorry, but this is obvious slander."
"15:40, 30 September 2006","Edemir","minor","100,002","Typos"
"12:49, 30 September 2006","Amado","","100,006","?Influences - added citation"
"08:56, 30 September 2006","SanchaBOT","minor","99,696","Date/fix the maintenance tags or gen fixes"
"04:30, 30 September 2006","Senona","minor","99,636","Limited spellcheck + minor fixes READ ME, Replaced: Sargant ? Sergeant using AWB"
"04:08, 30 September 2006","Edemir","","99,646","?Paraiso as a state-recognized religion - If references for these statements aren't found post-haste, this paragraph goes."
"03:32, 30 September 2006","DavidMoron","","99,623","?Paraiso as a state-recognized religion"
"02:48, 30 September 2006","Amado","","98,935","?Influences - added more info on influences"
"23:50, 29 September 2006","Amado","","98,337","?Definition - Re-aranged section with the more aplicable info in front."
"11:18, 29 September 2006","Amado","minor","98,337","?Influences"
"19:04, 28 September 2006","Culebrin","minor","98,337",""
"14:17, 28 September 2006","Amado","","98,332","?Influences"
"13:55, 28 September 2006","Amado","","98,234","?Influences - more info"
"13:28, 28 September 2006","Amado","","97,965","?Influences - added citation"
"12:31, 28 September 2006","Amado","","97,880","?Definition - moved definition as used in Paraiso to the first line"
"10:34, 28 September 2006","Amado","","97,881","?Influences - added influence by Vidros."
"10:20, 28 September 2006","Amado","","97,484","?Influences - removed uncited opinion, F did mention his influences in plenty of times, specialy during the Miami lectures"
"10:10, 28 September 2006","Amado","","97,665","?Origin - Divided origin into two sections Origin and Influences because these are two different subjects"
"17:36, 27 September 2006","Gitana","","97,648","already part of the categories' subcat"
"15:03, 26 September 2006","Agustin","minor","97,685","Undid revision xxxxxxxxx by Alleborgo talk) Unsourced"
"14:50, 26 September 2006","Alleborgo","","97,840","?Origin"
"02:43, 25 September 2006","Estirabot","minor","97,685","Reverted 1 edit by Cornelio identified as vandalism to last revision by Edemir. using TW"
"02:34, 25 September 2006","Cornelio","","97,737","i <3 Paraiso"
"15:41, 24 September 2006","Edemir","minor","97,685","Reverted 1 edit by Oscar identified as vandalism to last revision by ErKomandante. using TW"
"15:26, 24 September 2006","Oscar","","97,686",""
"02:16, 24 September 2006","ErKomandante","","97,685","Removed no-existent ref that was misaligning the citation list, and relpaced with cite needed tag"
"21:50, 21 September 2006","RyogaNica","","97,661","?Definition - no such article"
"02:40, 21 September 2006","Sara","","97,692","rv. myself I see now, you doubled it before... ok ): , not my day"
"02:28, 21 September 2006","Sara","","97,869","Undid revision xxxxxxxxx by RyogaNica talk) don't mark edits as minor if you delete source"
"02:24, 21 September 2006","Sara","minor","97,692","Undid revision xxxxxxxxx by Hermosa talk)"
"02:07, 21 September 2006","Hermosa","","97,904","?Paraiso as a cult"
"09:02, 19 September 2006","Rocio","","97,692","Undid revision xxxxxxxxx by Cristos talk)"
"09:01, 19 September 2006","Cristos","","96,997","removing information posted by Cs"
"04:32, 19 September 2006","RyogaNica","minor","97,692","?Paraiso and celebrities - minor ref corrected"
"04:28, 19 September 2006","RyogaNica","minor","97,869","?Paraiso and celebrities - references corrected messed up sequence)"
"03:30, 19 September 2006","BakBOT","","97,765","Reverting possible vandalism by Special:Contributions/Alphanzo see here). If this is a mistake, report it. Thanks, BakBOT. Bot)"
"03:16, 19 September 2006","Alphanzo","minor","","moved Paraiso to GUNNED DOWN SIX DOCTORS AND NURSES IN COLD BLOOD"
"03:12, 19 September 2006","RyogaNica","","97,765","?Home Health Care -  POV pushing removed. again ridiculous."
"03:09, 19 September 2006","Edemir","","97,530","?Home Health Care - added confrontation of Paraiso members and Dept of Health"
"03:01, 19 September 2006","Sara","","97,765","?Home Health Care"
"02:25, 19 September 2006","RyogaNica","","97,966","Undid revision xxxxxxxxx by Edmir talk) POV pushing"
"02:21, 19 September 2006","Edemir","","97,565","?Home Health Care - Dept of Health intervention refs"
"01:18, 19 September 2006","RyogaNica","minor","97,966","?Home Health Care - adding to my previuos"
"01:14, 19 September 2006","RyogaNica","","97,877","?Home Health Care. Not sure why this hasn't been written before"
"23:12, 18 September 2006","Edemir","","97,533","?Home schooling for girls - Whoops, messed up the punctuation. Sorry."
"23:11, 18 September 2006","Edemir","","97,534","?GHome schooling for girl - I think RyogaNica's reference is fine, here. Catalano clearly states girls are to be home schooled, why not reference that?"
"23:02, 18 September 2006","Sara","","97,503","restored DailosTamanca version. The speculation that home schooling for girls is discriminatory is irrelevant"
"22:52, 18 September 2006","RyogaNica","minor","97,497","?Home schooling for girls - double mention rem"
"22:50, 18 September 2006","RyogaNica","","97,556","?Home schooling for girls - that seems ok like this. It is stated in the Manifesto, no need to interpret."
"22:48, 18 September 2006","RyogaNica","","97,585","?Home schooling for girls - good to check the actual source at times..."
"22:26, 18 September 2006","Edemir","","97,554","?Home schooling for girls - Is this a good compromise?"
"21:46, 18 September 2006","RyogaNica","minor","97,606","?Home schooling for girls - correction of my earlier edit"
"21:33, 18 September 2006","RyogaNica","","97,546","Undid revision xxxxxxxxx by DailosTamanca talk). fraudulent generalization corrected."
"18:54, 18 September 2006","DailosTamanca","","97,503","Undid revision xxxxxxxxx by RyogaNica talk); these details reduce impact of sentence"
"18:36, 18 September 2006","RyogaNica","","97,546","?Home schooling for girls - details added, there is clear rationale stated in the Manifesto"
"15:54, 18 September 2006","Edemir","","97,503","?Home schooling for girls - Language and syntax cleanup, removed some redundancy, wikilinked \"home schooling\" etc."
"12:05, 18 September 2006","DailosTamanca","","97,548","Undid revision xxxxxxxxx by RyogaNica talk); not so ridiculous"
"04:38, 18 September 2006","RyogaNica","","97,594","?Home schooling for girls - typical POV pushing removed. this is so ridiculous."
"04:31, 18 September 2006","RyogaNica","minor","97,548","Reverted to revision xxxxxxxxx by RyogaNica; WP:OR and factually wrong. using TW"
"03:11, 18 September 2006","DavidMoron","","97,739","?Beliefs"
"03:05, 18 September 2006","DavidMoron","","97,597","?Activities"
"02:28, 18 September 2006","RyogaNica","","97,548","?External links - wrong section in any case, fraudulent title for sure, pure POV pushing otherwise"
"15:09, 17 September 2006","Edemir","","97,620","Not disputing these claims, but they need references, and I'm not sure the intro is the right place for this."
"12:49, 17 September 2006","DailosTamanca","minor","97,868","Reverted to revision xxxxxxxxx by DavidMorón; vandalism. using TW"
"11:44, 17 September 2006","Emijrp","","97,885","?Origin"
"11:42, 17 September 2006","Emijrp","","97,893","?Origin"
"01:30, 17 September 2006","DavidMoron","","97,868","?Paraiso web links"
"01:08, 17 September 2006","DavidMoron","","97,796",""
"17:32, 16 September 2006","Gechina","minor","97,548",""
"09:01, 16 September 2006","Sara","","97,555","rv myself, didn't see that this was part of the lead. sorry"
"07:09, 16 September 2006","Agustin","minor","97,799","Wiki'ed sources"
"07:05, 16 September 2006","Agustin","minor","97,791","Ref'ed a few {{fact}} bombs"
"06:45, 16 September 2006","Agustin","minor","97,288","?Other links - Addition which was really an undiscussed deletion"
"05:55, 16 September 2006","Sara","","97,261","rv Sofia's last edit wich he labeled with \"Pope statement\" but deleted conclusions from the German Government including a source"
"05:25, 16 September 2006","Rodogm","","97,017","?Other links - add NRM cat"
"13:49, 15 September 2006","DailosTamanca","minor","97,007","Reverted 1 edit by Hectoryalejandro; Michael Moore not notable enough for list. using TW"
"12:12, 15 September 2006","Hectoryalejandro","","97,033","?Paraiso and celebrities"
"08:21, 15 September 2006","Sofia","","97,007","Pope statements"
"08:15, 15 September 2006","Sofia","","97,251","?Paraiso as a cult"
"07:03, 15 September 2006","Rodogm","minor","97,484","?Activities"
"06:57, 15 September 2006","Rodogm","","97,483","?Past lives - clarify about space opera"
"06:53, 15 September 2006","Rodogm","minor","97,464","?Tone scale -add expanded"
"01:44, 15 September 2006","PaintBoy","","97,454","Mexico considers Paraiso tobe a predatory commercial enterprise."
"04:23, 13 September 2006","Constantino","minor","97,210","Typo fixing , typos fixed: ceromonies ? ceremonies using AWB"
"19:33, 10 September 2006","Rm99","minor","97,210","."
"18:56, 10 September 2006","Edemir","minor","97,210","?Home schooling for girls - Removed extraneous carriage-return"
"18:52, 10 September 2006","Alonso","","97,212","?Home schooling for girls - rm incidental"
"17:54, 10 September 2006","BjornII","","97,275","rv POV deletions of sourced content"
"06:52, 10 September 2006","RyogaNica","minor","93,938","Reverted to revision xxxxxxxxx by Agustin; now.. using TW"
"06:29, 10 September 2006","Ciro","minor","97,275","Reverted edits by Ciro talk) to last version by Rm99"
"06:28, 10 September 2006","Ciro","minor","93,938","Reverted edits by Rm99 talk) to last version by Agustin"
"06:27, 10 September 2006","Rm99","","97,275","several edits"
"22:21, 7 September 2006","Agustin","minor","93,938","Undid revision xxxxxxxxx by Idoia talk) Contents of quotations should not be altered"
"21:10, 7 September 2006","Idoia","minor","93,938","Uppercased Paraiso"
"18:34, 7 September 2006","Edemir","minor","93,938","Undid revision xxxxxxxxx by Rocio talk) - Unsourced and redundant POV addition"
"17:51, 7 September 2006","Rocio","minor","94,007",""
"17:42, 7 September 2006","Paintman","minor","93,938","+sprotect tag"
"17:41, 7 September 2006","Paintman","minor","","Changed protection level for \"Paraiso\": anon/new user vandalism and pov edits [edit=autoconfirmed:move=sysop] expires 17:41, 7 October 2006 UTC))"
"17:40, 7 September 2006","Shoshana","minor","93,905","Reverted edits by Adolfo talk) to last version by Socorro"
"17:38, 7 September 2006","Adolfo","","93,918",""
"16:26, 7 September 2006","Socorro","","93,905","restored article to edit before vandalism/edit-warring by 66.66.125.x"
"16:21, 7 September 2006","66.66.125.x","","95,072","well dont delete all the good writing i did... maybe be nice to a new wikipedia user and hit google and help me cite.. Operation Goatherd has lots of them"
"16:14, 7 September 2006","Estirabot","minor","93,905","Reverted 1 edit by 66.66.125.x to last revision by Curcio; Rv POV, WP:CITE for how to make citations. using TW"
"16:14, 7 September 2006","66.66.125.x","","95,072","it is sourced further on in the article... furthermore instead of deleting it all.. why not do a simple google.. i dont know how to make the citation thingies but the info is out there"
"16:11, 7 September 2006","Curcio","minor","93,905","rv unsourced POV"
"16:09, 7 September 2006","66.66.125.x","","95,072","Undid revision xxxxxxxxx by Estirabot talk)"
"16:02, 7 September 2006","Estirabot","minor","93,905","Reverted 1 edit by 66.66.125.x to last revision by Estirabot; Rv POV. using TW"
"16:01, 7 September 2006","66.66.125.x","","95,037","it is not pov if it well documentated and proven.. every point in that paragraph which was said little more than \"is controversial\" has been proven.if someone slaps someone and you say so its not pov"
"15:53, 7 September 2006","Estirabot","minor","93,905","Reverted 1 edit by 66.66.125.x to last revision by Estirabot; Rv POV, sorry, misunderstood the problem with your edits. using TW"
"15:52, 7 September 2006","66.66.125.x","","95,037","an outline of the already cited and considerable controversies in the introduction not only adds neutral proportion but it also makes the entry more cohesive.. hardly vandalism!"
"15:49, 7 September 2006","Estirabot","minor","93,905","Reverted 1 edit by 66.66.125.x identified as vandalism to last revision by Estirabot. using TW"
"15:49, 7 September 2006","66.66.125.x","","95,037","Undid revision xxxxxxxxx by Socorro talk)"
"15:48, 7 September 2006","Estirabot","minor","93,905","Reverted 1 edit by 66.66.125.x identified as vandalism to last revision by Socorro. using TW"
"15:47, 7 September 2006","66.66.125.x","","95,037","Undid revision xxxxxxxxx by Socorro talk)"
"15:17, 7 September 2006","Socorro","","93,905","missed some of 66.66.125.x?'s unsourced POV-pushing earlier. Rv back to Agustin's version."
"15:14, 7 September 2006","59.154.52.x","","95,037","?Origin"
"15:13, 7 September 2006","59.154.52.x","","95,037","?Origin"
"15:00, 7 September 2006","Socorro","","95,046","rv POV-pushing, unsourced and just plain unfactual material the Simpsons ep isn't specifically about Paraiso!)"
"14:59, 7 September 2006","66.66.125.x","","95,437",""
"14:54, 7 September 2006","66.66.125.x","","95,406",""
"14:34, 7 September 2006","66.66.125.x","","95,121",""
"14:32, 7 September 2006","66.66.125.x","","95,116",""
"14:02, 7 September 2006","66.66.125.x","","95,106",""
"13:58, 7 September 2006","66.66.125.x","","95,049",""
"13:43, 7 September 2006","66.66.125.x","","95,048","too much tip toeing by simply stating \"controversial by itself\" wikipedia is neutral not blind, a portion of the introduction that specifies some of the controversy is healthy and objective"
"13:40, 7 September 2006","66.66.125.x","","95,046","Undid revision xxxxxxxxx by Socorro talk)"
"13:32, 7 September 2006","Socorro","","93,905","rv to last version by Agustin."
"13:24, 7 September 2006","66.66.125.x","","95,046",""
"13:20, 7 September 2006","66.66.125.x","","95,004",""
"13:14, 7 September 2006","66.66.125.x","","94,839",""
"13:05, 7 September 2006","66.66.125.x","","94,225",""
"13:02, 7 September 2006","66.66.125.x","","94,092",""
"06:19, 7 September 2006","Agustin","minor","93,905","Undid revision xxxxxxxxx by Savanna talk) No deletion at all. One added ref."
"06:12, 7 September 2006","Savanna","","93,364","Undid revision xxxxxxxxx by Agustin talk)Mr. Agustin, you have deleted salient information with no justification."
"05:09, 7 September 2006","Agustin","","93,905","?Controversy and criticism - Ref'ed"
"01:28, 7 September 2006","Jfreyre","","93,364","Revert to revision xxxxxxxxx dated 2006-09-07 00:04:41 by Paintman using popups"
"01:25, 7 September 2006","206.74.228.x","","93,412",""
"00:04, 7 September 2006","Paintman","minor","93,364","Reverted edits by Segunda talk) to last version by Paintman"
